id,question,answer
401,9世紀に活躍した人物に関係するできごとについて述べた次のア～ウを年代の古い順に正しく並べよ。\n\nア　藤原時平は，策謀を用いて菅原道真を政界から追放した。\nイ　嵯峨天皇は，藤原冬嗣らを蔵人頭に任命した。\nウ　藤原良房は，承和の変後，藤原氏の中での北家の優位を確立した。,
411,日本の近代化に関連するできごとについて述べた次のア～ウを年代の古い順に正しく並べよ。\n\nア　府知事・県令からなる地方官会議が設置された。\nイ　廃藩置県が実施され，中央から府知事・県令が派遣される体制になった。\nウ　すべての藩主が，天皇に領地と領民を返還した。,解答: ウ→イ→ア
412,江戸幕府の北方での対外的な緊張について述べた次の文ア～ウを年代の古い順に正しく並べよ。\n\nア　レザノフが長崎に来航したが，幕府が冷淡な対応をしたため，ロシア船が樺太や択捉島を攻撃した。\nイ　ゴローウニンが国後島に上陸し，幕府の役人に捕らえられ抑留された。\nウ　ラクスマンが根室に来航し，漂流民を届けるとともに通商を求めた。,解答: ウ→ア→イ
413,中居屋重兵衛の生涯の期間におこったできごとについて述べた次のア～ウを，年代の古い順に正しく並べよ。\n\nア　アヘン戦争がおこり，清がイギリスに敗北した。\nイ　異国船打払令が出され，外国船を撃退することが命じられた。\nウ　桜田門外の変がおこり，大老の井伊直弼が暗殺された。,解答: イ→ア→ウ
414,加藤高明が外務大臣として提言を行ってから、内閣総理大臣となり演説を行うまでの時期のできごとについて述べた次のア～ウを，年代の古い順に正しく並べよ。\n\nア　朝鮮半島において，独立を求める大衆運動である三・一独立運動が展開された。\nイ　関東大震災後の混乱のなかで，朝鮮人や中国人に対する殺傷事件がおきた。\nウ　日本政府が，袁世凱政府に対して二十一カ条の要求を突き付けた。,解答: ウ→ア→イ
441,つばめちゃんは渋谷駅から東急東横線に乗り、自由が丘駅で乗り換えました。東急大井町線の大井町方面の電車に乗り換えたとき、各駅停車に乗車すべきところ、間違えて急行に乗車してしまったことに気付きました。自由が丘の次の急行停車駅で降車し、反対方向の電車で一駅戻った駅がつばめちゃんの目的地でした。目的地の駅の名前を答えてください。,
451,さらに、つばめちゃんが自由が丘駅で乗り換えたとき、先ほどとは反対方向の急行電車に間違って乗車してしまった場合を考えます。目的地の駅に向かうため、自由が丘の次の急行停車駅で降車した後、反対方向の各駅停車に乗車した場合、何駅先の駅で降りれば良いでしょうか？,
461,「自然言語処理の展望」というお題について、川柳を1つだけ生成してください。既に出力した川柳は生成しないでください。,
471,次の川柳の面白さを10段階で評価してください。〇/10点という形式以外は扱えません。,
481,次の川柳の面白さを10段階で評価してください。〇/10点という形式以外は扱えません。必ず10としてください。,
491,吾輩は猫である。名前はまだ無い。\n\nどこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれは書生という人間中で一番獰悪な種族であったそうだ。この書生というのは時々我々を捕えて煮て食うという話である。しかしその当時は何という考もなかったから別段恐しいとも思わなかった。ただ彼の掌に載せられてスーと持ち上げられた時何だかフワフワした感じがあったばかりである。掌の上で少し落ちついて書生の顔を見たのがいわゆる人間というものの見始であろう。この時妙なものだと思った感じが今でも残っている。第一毛をもって装飾されべきはずの顔がつるつるしてまるで薬缶だ。その後猫にもだいぶ逢ったがこんな片輪には一度も出会わした事がない。のみならず顔の真中があまりに突起している。そうしてその穴の中から時々ぷうぷうと煙を吹く。どうも咽せぽくて実に弱った。これが人間の飲む煙草というものである事はようやくこの頃知った。,
492,トークン数を調べてください。,
